#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
30 0.8054027014 6.0015007504 0.1167914869 8.20000000 63.40000000 50.86666667
31 0.8304152076 2.5467733867 0.0272841269 3.80000000 71.26666667 57.13333333
32 0.8374187094 2.2701350675 0.0217655409 3.93333333 70.86666667 55.80000000
33 0.8404202101 2.1555777889 0.0182967063 3.33333333 70.40000000 54.80000000
34 0.8644322161 2.0765382691 0.0215324070 2.66666667 70.86666667 55.06666667
35 0.8754377189 1.9299649825 0.0179180179 3.00000000 70.86666667 56.73333333
36 0.8769384692 1.8534267134 0.0156068970 2.46666667 69.40000000 55.13333333
37 0.8924462231 1.8139069535 0.0189216236 2.60000000 71.13333333 56.93333333
38 0.8939469735 1.6708354177 0.0160432496 2.33333333 70.93333333 57.33333333
39 0.8954477239 1.7648824412 0.0182569376 2.40000000 73.20000000 57.20000000
40 0.8954477239 1.8749374687 0.0235930428 2.80000000 70.06666667 54.33333333
41 0.8969484742 1.7643821911 0.0172704825 2.80000000 71.73333333 55.00000000
42 0.9029514757 1.7013506753 0.0165898763 2.26666667 73.40000000 56.60000000
43 0.9214607304 1.6393196598 0.0258048024 2.93333333 131.13333333 103.93333333
44 0.9169584792 1.7723861931 0.0264079815 1.93333333 79.86666667 68.80000000
45 0.9239619810 1.5627813907 0.0232529539 1.66666667 79.53333333 62.33333333
46 0.9269634817 1.5232616308 0.0207956361 1.46666667 81.33333333 63.46666667
47 0.9274637319 1.6873436718 0.0263021217 1.93333333 83.46666667 63.93333333
48 0.9394697349 1.3786893447 0.0203038970 1.46666667 85.20000000 65.40000000
49 0.9374687344 1.6838419210 0.0312450736 1.80000000 88.80000000 71.53333333
50 0.9434717359 1.3551775888 0.0211466470 1.53333333 90.73333333 73.80000000
51 0.9399699850 1.4137068534 0.0214880824 1.66666667 92.60000000 77.13333333
