|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
59 0.8999499750 0.0753209938 0.0043922799 14.16666667
access %, disaccess %
0.014825650351862101, 0.07365167341718183
|M| = 35
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0952505001 0.00000000
01 0.7428714357 3.3274137069 0.0372203361 0.00000000
02 0.7343671836 2.2372853093 0.0247367627 0.00000000
03 0.7523761881 1.6529514757 0.0188604527 0.00000000
04 0.7768884442 1.2830415208 0.0158574029 0.00000000
05 0.7598799400 1.0910455228 0.0127084964 0.00000000
06 0.7658829415 0.9276066605 0.0108562897 0.00000000
07 0.7708854427 0.8057153577 0.0096205398 0.00000000
08 0.7803901951 0.7090211773 0.0087698139 0.00000000
09 0.7868934467 0.6343671836 0.0081284251 0.00000000
10 0.8034017009 0.5495020237 0.0075804802 0.00000000
11 0.8114057029 0.5081707520 0.0069483363 0.00000000
12 0.8274137069 0.4585754416 0.0066204398 0.00000000
13 0.8259129565 0.4296791253 0.0061146713 0.00000000
14 0.8279139570 0.3984325496 0.0057314782 0.00000000
15 0.8304152076 0.3715920460 0.0053222245 0.00000000
16 0.8089044522 0.3590618839 0.0049117170 0.00000000
17 0.7883941971 0.3463120449 0.0045574959 0.00000000
18 0.7823911956 0.3268739633 0.0042248017 0.00000000
19 0.8089044522 0.3035017509 0.0042198816 0.00000000
20 0.7908954477 0.2934562519 0.0038723412 0.00000000
21 0.7923961981 0.2796625586 0.0037385305 0.00000000
22 0.7963981991 0.2668725667 0.0036005335 0.00000000
23 0.8049024512 0.2508754377 0.0034861668 0.00000000
24 0.8074037019 0.2382791396 0.0033787242 0.00000000
25 0.8064032016 0.2286912687 0.0032200611 0.00000000
26 0.8054027014 0.2198321383 0.0030884554 0.00000000
27 0.8134067034 0.2101229186 0.0030699361 0.00000000
28 0.8229114557 0.1990132998 0.0029788609 0.00000000
29 0.8279139570 0.1908454227 0.0028724103 0.00000000
30 0.8744372186 0.1452661815 0.0090261275 10.77142857
